field_id,candidate,bucket,rows,predicted_mean,actual_rate,absolute_calibration_error
QB_T6_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,35,0.1397644551,0.1142857143,0.0254787408
QB_T6_T_PLUS_2,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,22,0.2702446124,0.3181818182,0.0479372057
QB_T6_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.0-0.1,107,0.0667295124,0.0654205607,0.0013089517
QB_T6_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.1-0.2,35,0.1397644551,0.1142857143,0.0254787408
QB_T6_T_PLUS_2,C1_REGULARIZED_LOGISTIC,0.2-0.3,22,0.2702446124,0.3181818182,0.0479372057
QB_T6_T_PLUS_2,C2_BETA_CALIBRATION,0.0-0.1,107,0.0667295124,0.0654205607,0.0013089517
QB_T6_T_PLUS_2,C2_BETA_CALIBRATION,0.1-0.2,35,0.1397644551,0.1142857143,0.0254787408
QB_T6_T_PLUS_2,C2_BETA_CALIBRATION,0.2-0.3,22,0.2702446124,0.3181818182,0.0479372057
QB_T6_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.0-0.1,107,0.0667295124,0.0654205607,0.0013089517
QB_T6_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.1-0.2,35,0.1397644551,0.1142857143,0.0254787408
QB_T6_T_PLUS_2,C3_ISOTONIC_MONOTONIC,0.2-0.3,22,0.2702446124,0.3181818182,0.0479372057
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.1-0.2,129,0.1561451359,0.1472868217,0.0088583142
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.2-0.3,18,0.2171668577,0.5000000000,0.2828331423
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.3-0.4,27,0.3535495270,0.1851851852,0.1683643418
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.4-0.5,4,0.4049719326,0.5000000000,0.0950280674
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.5-0.6,34,0.5166739786,0.5294117647,0.0127377861
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.6-0.7,16,0.6621274811,0.7500000000,0.0878725189
QB_T6_WITHIN_3Y,C0_CURRENT_PROFILE_BUCKET_BASELINE,0.7-0.8,23,0.7557101900,0.4347826087,0.3209275813
QB_T6_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.1-0.2,129,0.1647931047,0.1472868217,0.0175062830
QB_T6_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.2-0.3,19,0.2606599180,0.5263157895,0.2656558714
QB_T6_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.3-0.4,26,0.3569698202,0.1538461538,0.2031236664
QB_T6_WITHIN_3Y,C1_REGULARIZED_LOGISTIC,0.4-0.5,17,0.4319241999,0.7058823529,0.2739581531
